variant,input_shape,input_shape_signature,input_dtype,input_quantization,output_shape,output_shape_signature,output_dtype,output_quantization
float32,"[1, 224, 224, 3]","[-1, 224, 224, 3]",float32,"[0.0, 0]","[1, 23]","[-1, 23]",float32,"[0.0, 0]"
dynamic_range,"[1, 224, 224, 3]","[-1, 224, 224, 3]",float32,"[0.0, 0]","[1, 23]","[-1, 23]",float32,"[0.0, 0]"
